Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
100),02/01/2023,00:45:00,,,,,3.143,,,,,,,
101),02/01/2023,01:00:00,,,,,3.01,,,,,,,
102),02/01/2023,01:15:00,,,,,2.917,,,,,,,
103),02/01/2023,01:30:00,,,,,2.859,,,,,,,
104),02/01/2023,01:45:00,,,,,2.835,,,,,,,
105),02/01/2023,02:00:00,,,,,2.842,,,,,,,
106),02/01/2023,02:15:00,,,,,2.881,,,,,,,
107),02/01/2023,02:30:00,,,,,2.932,,,,,,,
108),02/01/2023,02:45:00,,,,,3.036,,,,,,,
109),02/01/2023,03:00:00,,,,,3.172,,,,,,,
110),02/01/2023,03:15:00,,,,,3.354,,,,,,,
111),02/01/2023,03:30:00,,,,,3.583,,,,,,,
112),02/01/2023,03:45:00,,,,,3.851,,,,,,,
113),02/01/2023,04:00:00,,,,,4.157,,,,,,,
114),02/01/2023,04:15:00,,,,,4.483,,,,,,,
115),02/01/2023,04:30:00,,,,,4.825,,,,,,,
116),02/01/2023,04:45:00,,,,,5.171,,,,,,,
117),02/01/2023,05:00:00,,,,,5.517,,,,,,,
118),02/01/2023,05:15:00,,,,,5.853,,,,,,,
119),02/01/2023,05:30:00,,,,,6.175,,,,,,,
120),02/01/2023,05:45:00,,,,,6.491,,,,,,,
121),02/01/2023,06:00:00,,,,,6.791,,,,,,,
122),02/01/2023,06:15:00,,,,,7.06,,,,,,,
123),02/01/2023,06:30:00,,,,,7.297,,,,,,,
124),02/01/2023,06:45:00,,,,,7.503,,,,,,,
125),02/01/2023,07:00:00,,,,,7.663,,,,,,,
126),02/01/2023,07:15:00,,,,,7.781,,,,,,,
127),02/01/2023,07:30:00,,,,,7.858,,,,,,,
128),02/01/2023,07:45:00,,,,,7.895,,,,,,,
129),02/01/2023,08:00:00,,,,,7.889,,,,,,,
130),02/01/2023,08:15:00,,,,,7.836,,,,,,,
131),02/01/2023,08:30:00,,,,,7.746,,,,,,,
132),02/01/2023,08:45:00,,,,,7.613,,,,,,,
133),02/01/2023,09:00:00,,,,,7.447,,,,,,,
134),02/01/2023,09:15:00,,,,,7.248,,,,,,,
135),02/01/2023,09:30:00,,,,,7.019,,,,,,,
136),02/01/2023,09:45:00,,,,,6.768,,,,,,,
137),02/01/2023,10:00:00,,,,,6.5,,,,,,,
138),02/01/2023,10:15:00,,,,,6.231,,,,,,,
139),02/01/2023,10:30:00,,,,,5.962,,,,,,,
140),02/01/2023,10:45:00,,,,,5.687,,,,,,,
141),02/01/2023,11:00:00,,,,,5.415,,,,,,,
142),02/01/2023,11:15:00,,,,,5.144,,,,,,,
143),02/01/2023,11:30:00,,,,,4.875,,,,,,,
144),02/01/2023,11:45:00,,,,,4.608,,,,,,,
145),02/01/2023,12:00:00,,,,,4.352,,,,,,,
146),02/01/2023,12:15:00,,,,,4.117,,,,,,,
147),02/01/2023,12:30:00,,,,,3.9,,,,,,,
148),02/01/2023,12:45:00,,,,,3.655,,,,,,,
149),02/01/2023,13:00:00,,,,,3.472,,,,,,,
150),02/01/2023,13:15:00,,,,,3.311,,,,,,,
151),02/01/2023,13:30:00,,,,,3.179,,,,,,,
152),02/01/2023,13:45:00,,,,,3.085,,,,,,,
153),02/01/2023,14:00:00,,,,,3.03,,,,,,,
154),02/01/2023,14:15:00,,,,,3.008,,,,,,,
155),02/01/2023,14:30:00,,,,,3.027,,,,,,,
156),02/01/2023,14:45:00,,,,,3.066,,,,,,,
157),02/01/2023,15:00:00,,,,,3.145,,,,,,,
158),02/01/2023,15:15:00,,,,,3.251,,,,,,,
159),02/01/2023,15:30:00,,,,,3.393,,,,,,,
160),02/01/2023,15:45:00,,,,,3.589,,,,,,,
161),02/01/2023,16:00:00,,,,,3.825,,,,,,,
162),02/01/2023,16:15:00,,,,,4.108,,,,,,,
163),02/01/2023,16:30:00,,,,,4.435,,,,,,,
164),02/01/2023,16:45:00,,,,,4.783,,,,,,,
165),02/01/2023,17:00:00,,,,,5.149,,,,,,,
166),02/01/2023,17:15:00,,,,,5.52,,,,,,,
167),02/01/2023,17:30:00,,,,,5.881,,,,,,,
168),02/01/2023,17:45:00,,,,,6.231,,,,,,,
169),02/01/2023,18:00:00,,,,,6.578,,,,,,,
