Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1),2018/01/01,00:00:00,,,,,7.053,,,,,,,
2),2018/01/01,00:15:00,,,,,6.632,,,,,,,
3),2018/01/01,00:30:00,,,,,6.209,,,,,,,
4),2018/01/01,00:45:00,,,,,5.809,,,,,,,
5),2018/01/01,01:00:00,,,,,5.370,,,,,,,
6),2018/01/01,01:15:00,,,,,4.938,,,,,,,
7),2018/01/01,01:30:00,,,,,4.501,,,,,,,
8),2018/01/01,01:45:00,,,,,4.076,,,,,,,
9),2018/01/01,02:00:00,,,,,3.684,,,,,,,
10),2018/01/01,02:15:00,,,,,3.308,,,,,,,
11),2018/01/01,02:30:00,,,,,2.961,,,,,,,
12),2018/01/01,02:45:00,,,,,2.634,,,,,,,
13),2018/01/01,03:00:00,,,,,2.350,,,,,,,
14),2018/01/01,03:15:00,,,,,2.134,,,,,,,
15),2018/01/01,03:30:00,,,,,1.985,,,,,,,
16),2018/01/01,03:45:00,,,,,1.881,,,,,,,
17),2018/01/01,04:00:00,,,,,1.791,,,,,,,
18),2018/01/01,04:15:00,,,,,1.722,,,,,,,
19),2018/01/01,04:30:00,,,,,1.734,,,,,,,
20),2018/01/01,04:45:00,,,,,1.797,,,,,,,
21),2018/01/01,05:00:00,,,,,1.868,,,,,,,
22),2018/01/01,05:15:00,,,,,2.004,,,,,,,
23),2018/01/01,05:30:00,,,,,2.195,,,,,,,
24),2018/01/01,05:45:00,,,,,2.472,,,,,,,
25),2018/01/01,06:00:00,,,,,2.816,,,,,,,
26),2018/01/01,06:15:00,,,,,3.245,,,,,,,
27),2018/01/01,06:30:00,,,,,3.726,,,,,,,
28),2018/01/01,06:45:00,,,,,4.240,,,,,,,
29),2018/01/01,07:00:00,,,,,4.781,,,,,,,
30),2018/01/01,07:15:00,,,,,5.351,,,,,,,
31),2018/01/01,07:30:00,,,,,5.908,,,,,,,
32),2018/01/01,07:45:00,,,,,6.481,,,,,,,
33),2018/01/01,08:00:00,,,,,7.029,,,,,,,
34),2018/01/01,08:15:00,,,,,7.553,,,,,,,
35),2018/01/01,08:30:00,,,,,8.056,,,,,,,
36),2018/01/01,08:45:00,,,,,8.480,,,,,,,
37),2018/01/01,09:00:00,,,,,8.851,,,,,,,
38),2018/01/01,09:15:00,,,,,9.174,,,,,,,
39),2018/01/01,09:30:00,,,,,9.450,,,,,,,
40),2018/01/01,09:45:00,,,,,9.647,,,,,,,
41),2018/01/01,10:00:00,,,,,9.782,,,,,,,
42),2018/01/01,10:15:00,,,,,9.851,,,,,,,
43),2018/01/01,10:30:00,,,,,9.814,,,,,,,
44),2018/01/01,10:45:00,,,,,9.689,,,,,,,
45),2018/01/01,11:00:00,,,,,9.503,,,,,,,
46),2018/01/01,11:15:00,,,,,9.238,,,,,,,
