Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1),2017/01/01,00:00:00,,,,,8.779M,,,,,,,
2),2017/01/01,00:15:00,,,,,8.978M,,,,,,,
3),2017/01/01,00:30:00,,,,,9.111M,,,,,,,
4),2017/01/01,00:45:00,,,,,9.152M,,,,,,,
5),2017/01/01,01:00:00,,,,,9.104M,,,,,,,
6),2017/01/01,01:15:00,,,,,8.977M,,,,,,,
7),2017/01/01,01:30:00,,,,,8.772M,,,,,,,
8),2017/01/01,01:45:00,,,,,8.488M,,,,,,,
9),2017/01/01,02:00:00,,,,,8.159M,,,,,,,
10),2017/01/01,02:15:00,,,,,7.783M,,,,,,,
11),2017/01/01,02:30:00,,,,,7.380M,,,,,,,
12),2017/01/01,02:45:00,,,,,6.965M,,,,,,,
13),2017/01/01,03:00:00,,,,,6.535M,,,,,,,
14),2017/01/01,03:15:00,,,,,6.099M,,,,,,,
15),2017/01/01,03:30:00,,,,,5.667M,,,,,,,
16),2017/01/01,03:45:00,,,,,5.239M,,,,,,,
17),2017/01/01,04:00:00,,,,,4.816M,,,,,,,
18),2017/01/01,04:15:00,,,,,4.397M,,,,,,,
19),2017/01/01,04:30:00,,,,,3.994M,,,,,,,
20),2017/01/01,04:45:00,,,,,3.616M,,,,,,,
21),2017/01/01,05:00:00,,,,,3.251M,,,,,,,
22),2017/01/01,05:15:00,,,,,2.902M,,,,,,,
23),2017/01/01,05:30:00,,,,,2.574M,,,,,,,
24),2017/01/01,05:45:00,,,,,2.297M,,,,,,,
25),2017/01/01,06:00:00,,,,,2.099M,,,,,,,
26),2017/01/01,06:15:00,,,,,1.941M,,,,,,,
27),2017/01/01,06:30:00,,,,,1.792M,,,,,,,
28),2017/01/01,06:45:00,,,,,1.663M,,,,,,,
29),2017/01/01,07:00:00,,,,,1.571M,,,,,,,
30),2017/01/01,07:15:00,,,,,1.547M,,,,,,,
31),2017/01/01,07:30:00,,,,,1.557M,,,,,,,
32),2017/01/01,07:45:00,,,,,1.597M,,,,,,,
33),2017/01/01,08:00:00,,,,,1.701M,,,,,,,
34),2017/01/01,08:15:00,,,,,1.859M,,,,,,,
35),2017/01/01,08:30:00,,,,,2.097M,,,,,,,
36),2017/01/01,08:45:00,,,,,2.397M,,,,,,,
37),2017/01/01,09:00:00,,,,,2.727M,,,,,,,
38),2017/01/01,09:15:00,,,,,3.111M,,,,,,,
39),2017/01/01,09:30:00,,,,,3.552M,,,,,,,
40),2017/01/01,09:45:00,,,,,4.031M,,,,,,,
41),2017/01/01,10:00:00,,,,,4.527M,,,,,,,
42),2017/01/01,10:15:00,,,,,5.042M,,,,,,,
43),2017/01/01,10:30:00,,,,,5.558M,,,,,,,
44),2017/01/01,10:45:00,,,,,6.107M,,,,,,,
