Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1),01/01/2024,00:00:00,,,,,6.451M,,,,,,,
2),01/01/2024,00:15:00,,,,,6.850M,,,,,,,
3),01/01/2024,00:30:00,,,,,7.244M,,,,,,,
4),01/01/2024,00:45:00,,,,,7.583M,,,,,,,
5),01/01/2024,01:00:00,,,,,7.900M,,,,,,,
6),01/01/2024,01:15:00,,,,,8.189M,,,,,,,
7),01/01/2024,01:30:00,,,,,8.379M,,,,,,,
8),01/01/2024,01:45:00,,,,,8.538M,,,,,,,
9),01/01/2024,02:00:00,,,,,8.627M,,,,,,,
10),01/01/2024,02:15:00,,,,,8.643M,,,,,,,
11),01/01/2024,02:30:00,,,,,8.586M,,,,,,,
12),01/01/2024,02:45:00,,,,,8.478M,,,,,,,
13),01/01/2024,03:00:00,,,,,8.305M,,,,,,,
14),01/01/2024,03:15:00,,,,,8.087M,,,,,,,
15),01/01/2024,03:30:00,,,,,7.819M,,,,,,,
16),01/01/2024,03:45:00,,,,,7.535M,,,,,,,
17),01/01/2024,04:00:00,,,,,7.216M,,,,,,,
18),01/01/2024,04:15:00,,,,,6.841M,,,,,,,
19),01/01/2024,04:30:00,,,,,6.473M,,,,,,,
20),01/01/2024,04:45:00,,,,,6.115M,,,,,,,
21),01/01/2024,05:00:00,,,,,5.770M,,,,,,,
22),01/01/2024,05:15:00,,,,,5.432M,,,,,,,
23),01/01/2024,05:30:00,,,,,5.122M,,,,,,,
24),01/01/2024,05:45:00,,,,,4.795M,,,,,,,
25),01/01/2024,06:00:00,,,,,4.518M,,,,,,,
26),01/01/2024,06:15:00,,,,,4.249M,,,,,,,
27),01/01/2024,06:30:00,,,,,3.989M,,,,,,,
28),01/01/2024,06:45:00,,,,,3.754M,,,,,,,
29),01/01/2024,07:00:00,,,,,3.523M,,,,,,,
30),01/01/2024,07:15:00,,,,,3.310M,,,,,,,
31),01/01/2024,07:30:00,,,,,3.119M,,,,,,,
32),01/01/2024,07:45:00,,,,,2.972M,,,,,,,
33),01/01/2024,08:00:00,,,,,2.865M,,,,,,,
34),01/01/2024,08:15:00,,,,,2.781M,,,,,,,
35),01/01/2024,08:30:00,,,,,2.733M,,,,,,,
36),01/01/2024,08:45:00,,,,,2.733M,,,,,,,
37),01/01/2024,09:00:00,,,,,2.770M,,,,,,,
38),01/01/2024,09:15:00,,,,,2.853M,,,,,,,
39),01/01/2024,09:30:00,,,,,2.980M,,,,,,,
40),01/01/2024,09:45:00,,,,,3.155M,,,,,,,
41),01/01/2024,10:00:00,,,,,3.382M,,,,,,,
42),01/01/2024,10:15:00,,,,,3.654M,,,,,,,
43),01/01/2024,10:30:00,,,,,3.978M,,,,,,,
44),01/01/2024,10:45:00,,,,,4.340M,,,,,,,
