system:index,cloudiness,scene_id,timestamp,.geo,datetime,formatted_datetime
20220102T113501_20220102T113458_T30UVE,77.359585,20220102T113501_20220102T113458_T30UVE,1641123383545.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-02 11:36:23.545,2022 01 02 11 36 23
20220102T113501_20220102T113458_T30UVF,52.950109,20220102T113501_20220102T113458_T30UVF,1641123369440.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-02 11:36:09.440,2022 01 02 11 36 09
20220102T113501_20220102T113458_T30UWE,94.565443,20220102T113501_20220102T113458_T30UWE,1641123378375.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-02 11:36:18.375,2022 01 02 11 36 18
20220102T113501_20220102T113458_T30UWF,35.417833,20220102T113501_20220102T113458_T30UWF,1641123364601.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-02 11:36:04.601,2022 01 02 11 36 04
20220104T112349_20220104T112444_T30UVE,36.750425,20220104T112349_20220104T112444_T30UVE,1641295580867.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-04 11:26:20.867,2022 01 04 11 26 20
20220104T112349_20220104T112444_T30UVF,10.838025,20220104T112349_20220104T112444_T30UVF,1641295566556.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-04 11:26:06.556,2022 01 04 11 26 06
20220104T112349_20220104T112444_T30UWE,54.573693,20220104T112349_20220104T112444_T30UWE,1641295576820.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-04 11:26:16.820,2022 01 04 11 26 16
20220104T112349_20220104T112444_T30UWF,5.237903,20220104T112349_20220104T112444_T30UWF,1641295562402.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-04 11:26:02.402,2022 01 04 11 26 02
20220107T113349_20220107T113445_T30UVE,82.732008,20220107T113349_20220107T113445_T30UVE,1641555377881.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-07 11:36:17.881,2022 01 07 11 36 17
20220107T113349_20220107T113445_T30UVF,61.466078,20220107T113349_20220107T113445_T30UVF,1641555363772.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-07 11:36:03.772,2022 01 07 11 36 03
20220107T113349_20220107T113445_T30UWE,49.693396,20220107T113349_20220107T113445_T30UWE,1641555372717.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-07 11:36:12.717,2022 01 07 11 36 12
20220107T113349_20220107T113445_T30UWF,39.183665,20220107T113349_20220107T113445_T30UWF,1641555358937.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-07 11:35:58.937,2022 01 07 11 35 58
20220109T112441_20220109T112451_T30UVE,54.952511,20220109T112441_20220109T112451_T30UVE,1641727586197.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-09 11:26:26.197,2022 01 09 11 26 26
20220109T112441_20220109T112451_T30UVF,68.705771,20220109T112441_20220109T112451_T30UVF,1641727571892.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-09 11:26:11.892,2022 01 09 11 26 11
20220109T112441_20220109T112451_T30UWE,58.575231,20220109T112441_20220109T112451_T30UWE,1641727582151.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-09 11:26:22.151,2022 01 09 11 26 22
20220109T112441_20220109T112451_T30UWF,53.93472,20220109T112441_20220109T112451_T30UWF,1641727567734.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-09 11:26:07.734,2022 01 09 11 26 07
20220112T113441_20220112T113449_T30UVE,17.059124,20220112T113441_20220112T113449_T30UVE,1641987382944.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-12 11:36:22.944,2022 01 12 11 36 22
20220112T113441_20220112T113449_T30UVF,60.642389,20220112T113441_20220112T113449_T30UVF,1641987368839.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-12 11:36:08.839,2022 01 12 11 36 08
20220112T113441_20220112T113449_T30UWE,56.434033,20220112T113441_20220112T113449_T30UWE,1641987377774.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-12 11:36:17.774,2022 01 12 11 36 17
20220112T113441_20220112T113449_T30UWF,75.33256,20220112T113441_20220112T113449_T30UWF,1641987364002.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-12 11:36:04.002,2022 01 12 11 36 04
20220114T112329_20220114T112443_T30UVE,48.079653,20220114T112329_20220114T112443_T30UVE,1642159580606.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-14 11:26:20.606,2022 01 14 11 26 20
20220114T112329_20220114T112443_T30UVF,99.076776,20220114T112329_20220114T112443_T30UVF,1642159566296.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-14 11:26:06.296,2022 01 14 11 26 06
20220114T112329_20220114T112443_T30UWE,38.569938,20220114T112329_20220114T112443_T30UWE,1642159576559.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-14 11:26:16.559,2022 01 14 11 26 16
20220114T112329_20220114T112443_T30UWF,43.103238,20220114T112329_20220114T112443_T30UWF,1642159562143.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-14 11:26:02.143,2022 01 14 11 26 02
20220117T113319_20220117T113444_T30UVE,37.114015,20220117T113319_20220117T113444_T30UVE,1642419377363.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-17 11:36:17.363,2022 01 17 11 36 17
20220117T113319_20220117T113444_T30UVF,54.333675,20220117T113319_20220117T113444_T30UVF,1642419363256.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-17 11:36:03.256,2022 01 17 11 36 03
20220117T113319_20220117T113444_T30UWE,80.250753,20220117T113319_20220117T113444_T30UWE,1642419372211.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-17 11:36:12.211,2022 01 17 11 36 12
20220117T113319_20220117T113444_T30UWF,25.999176,20220117T113319_20220117T113444_T30UWF,1642419358419.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-17 11:35:58.419,2022 01 17 11 35 58
20220119T112411_20220119T112449_T30UVE,25.182346,20220119T112411_20220119T112449_T30UVE,1642591584961.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-19 11:26:24.961,2022 01 19 11 26 24
20220119T112411_20220119T112449_T30UVF,15.475217,20220119T112411_20220119T112449_T30UVF,1642591570652.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-19 11:26:10.652,2022 01 19 11 26 10
20220119T112411_20220119T112449_T30UWE,3.680316,20220119T112411_20220119T112449_T30UWE,1642591580913.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-19 11:26:20.913,2022 01 19 11 26 20
20220119T112411_20220119T112449_T30UWF,11.145397,20220119T112411_20220119T112449_T30UWF,1642591566498.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-19 11:26:06.498,2022 01 19 11 26 06
20220122T113401_20220122T113358_T30UVE,93.81511,20220122T113401_20220122T113358_T30UVE,1642851381852.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-22 11:36:21.852,2022 01 22 11 36 21
20220122T113401_20220122T113358_T30UVF,73.056082,20220122T113401_20220122T113358_T30UVF,1642851367744.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-22 11:36:07.744,2022 01 22 11 36 07
20220122T113401_20220122T113358_T30UWE,98.217664,20220122T113401_20220122T113358_T30UWE,1642851376685.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-22 11:36:16.685,2022 01 22 11 36 16
20220122T113401_20220122T113358_T30UWF,91.099274,20220122T113401_20220122T113358_T30UWF,1642851362906.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-22 11:36:02.906,2022 01 22 11 36 02
20220124T112249_20220124T112248_T30UVE,99.632841,20220124T112249_20220124T112248_T30UVE,1643023579272.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-24 11:26:19.272,2022 01 24 11 26 19
20220124T112249_20220124T112248_T30UVF,94.164266,20220124T112249_20220124T112248_T30UVF,1643023564955.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-24 11:26:04.955,2022 01 24 11 26 04
20220124T112249_20220124T112248_T30UWE,99.997284,20220124T112249_20220124T112248_T30UWE,1643023575228.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-24 11:26:15.228,2022 01 24 11 26 15
20220124T112249_20220124T112248_T30UWF,53.018302,20220124T112249_20220124T112248_T30UWF,1643023560813.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-24 11:26:00.813,2022 01 24 11 26 00
20220127T113309_20220127T113435_T30UVE,5.55764,20220127T113309_20220127T113435_T30UVE,1643283375673.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-27 11:36:15.673,2022 01 27 11 36 15
20220127T113309_20220127T113435_T30UVF,48.132503,20220127T113309_20220127T113435_T30UVF,1643283361552.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-27 11:36:01.552,2022 01 27 11 36 01
20220127T113309_20220127T113435_T30UWE,25.855824,20220127T113309_20220127T113435_T30UWE,1643283370515.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-27 11:36:10.515,2022 01 27 11 36 10
