system:index,cloudiness,scene_id,timestamp,.geo,datetime,formatted_datetime
20210102T113359_20210102T113446_T30UVE,16.714862,20210102T113359_20210102T113446_T30UVE,1609587380346.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-02 11:36:20.346,2021 01 02 11 36 20
20210102T113359_20210102T113446_T30UVF,23.066929,20210102T113359_20210102T113446_T30UVF,1609587366244.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-02 11:36:06.244,2021 01 02 11 36 06
20210102T113359_20210102T113446_T30UWE,39.542126,20210102T113359_20210102T113446_T30UWE,1609587375185.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-02 11:36:15.185,2021 01 02 11 36 15
20210102T113359_20210102T113446_T30UWF,61.653625,20210102T113359_20210102T113446_T30UWF,1609587361409.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-02 11:36:01.409,2021 01 02 11 36 01
20210104T112451_20210104T112449_T30UVE,46.40865,20210104T112451_20210104T112449_T30UVE,1609759585288.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-04 11:26:25.288,2021 01 04 11 26 25
20210104T112451_20210104T112449_T30UVF,57.01422,20210104T112451_20210104T112449_T30UVF,1609759570988.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-04 11:26:10.988,2021 01 04 11 26 10
20210104T112451_20210104T112449_T30UWE,74.98673,20210104T112451_20210104T112449_T30UWE,1609759581245.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-04 11:26:21.245,2021 01 04 11 26 21
20210104T112451_20210104T112449_T30UWF,61.377715,20210104T112451_20210104T112449_T30UWF,1609759566823.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-04 11:26:06.823,2021 01 04 11 26 06
20210107T113451_20210107T113448_T30UVE,74.873124,20210107T113451_20210107T113448_T30UVE,1610019382471.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-07 11:36:22.471,2021 01 07 11 36 22
20210107T113451_20210107T113448_T30UVF,89.464606,20210107T113451_20210107T113448_T30UVF,1610019368372.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-07 11:36:08.372,2021 01 07 11 36 08
20210107T113451_20210107T113448_T30UWE,85.29319,20210107T113451_20210107T113448_T30UWE,1610019377269.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-07 11:36:17.269,2021 01 07 11 36 17
20210107T113451_20210107T113448_T30UWF,61.511717,20210107T113451_20210107T113448_T30UWF,1610019363539.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-07 11:36:03.539,2021 01 07 11 36 03
20210109T112339_20210109T112449_T30UVE,27.017206,20210109T112339_20210109T112449_T30UVE,1610191584093.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-09 11:26:24.093,2021 01 09 11 26 24
20210109T112339_20210109T112449_T30UVF,78.661317,20210109T112339_20210109T112449_T30UVF,1610191569783.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-09 11:26:09.783,2021 01 09 11 26 09
20210109T112339_20210109T112449_T30UWE,42.099536,20210109T112339_20210109T112449_T30UWE,1610191580049.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-09 11:26:20.049,2021 01 09 11 26 20
20210109T112339_20210109T112449_T30UWF,40.298907,20210109T112339_20210109T112449_T30UWF,1610191565628.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-09 11:26:05.628,2021 01 09 11 26 05
20210112T113339_20210112T113447_T30UVE,36.483315,20210112T113339_20210112T113447_T30UVE,1610451381351.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-12 11:36:21.351,2021 01 12 11 36 21
20210112T113339_20210112T113447_T30UVF,12.643295,20210112T113339_20210112T113447_T30UVF,1610451367259.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-12 11:36:07.259,2021 01 12 11 36 07
20210112T113339_20210112T113447_T30UWE,17.315311,20210112T113339_20210112T113447_T30UWE,1610451376167.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-12 11:36:16.167,2021 01 12 11 36 16
20210112T113339_20210112T113447_T30UWF,8.325319,20210112T113339_20210112T113447_T30UWF,1610451362428.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-12 11:36:02.428,2021 01 12 11 36 02
20210114T112431_20210114T112450_T30UVE,99.747369,20210114T112431_20210114T112450_T30UVE,1610623585706.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-14 11:26:25.706,2021 01 14 11 26 25
20210114T112431_20210114T112450_T30UVF,99.996765,20210114T112431_20210114T112450_T30UVF,1610623571407.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-14 11:26:11.407,2021 01 14 11 26 11
20210114T112431_20210114T112450_T30UWE,99.51927,20210114T112431_20210114T112450_T30UWE,1610623581664.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-14 11:26:21.664,2021 01 14 11 26 21
20210114T112431_20210114T112450_T30UWF,96.269593,20210114T112431_20210114T112450_T30UWF,1610623567241.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-14 11:26:07.241,2021 01 14 11 26 07
20210117T113421_20210117T113449_T30UVE,99.999998,20210117T113421_20210117T113449_T30UVE,1610883382702.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-17 11:36:22.702,2021 01 17 11 36 22
20210117T113421_20210117T113449_T30UVF,100.0,20210117T113421_20210117T113449_T30UVF,1610883368606.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-17 11:36:08.606,2021 01 17 11 36 08
20210117T113421_20210117T113449_T30UWE,100.0,20210117T113421_20210117T113449_T30UWE,1610883377482.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-17 11:36:17.482,2021 01 17 11 36 17
20210117T113421_20210117T113449_T30UWF,100.0,20210117T113421_20210117T113449_T30UWF,1610883363776.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-17 11:36:03.776,2021 01 17 11 36 03
20210119T112309_20210119T112449_T30UVE,99.868102,20210119T112309_20210119T112449_T30UVE,1611055584663.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-19 11:26:24.663,2021 01 19 11 26 24
20210119T112309_20210119T112449_T30UVF,99.990761,20210119T112309_20210119T112449_T30UVF,1611055570365.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-19 11:26:10.365,2021 01 19 11 26 10
20210119T112309_20210119T112449_T30UWE,99.785426,20210119T112309_20210119T112449_T30UWE,1611055580624.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-19 11:26:20.624,2021 01 19 11 26 20
20210119T112309_20210119T112449_T30UWF,99.602239,20210119T112309_20210119T112449_T30UWF,1611055566204.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-19 11:26:06.204,2021 01 19 11 26 06
20210122T113319_20210122T113448_T30UVE,50.484854,20210122T113319_20210122T113448_T30UVE,1611315381721.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-22 11:36:21.721,2021 01 22 11 36 21
20210122T113319_20210122T113448_T30UVF,33.646991,20210122T113319_20210122T113448_T30UVF,1611315367621.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-22 11:36:07.621,2021 01 22 11 36 07
20210122T113319_20210122T113448_T30UWE,25.724891,20210122T113319_20210122T113448_T30UWE,1611315376535.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-22 11:36:16.535,2021 01 22 11 36 16
20210122T113319_20210122T113448_T30UWF,29.027583,20210122T113319_20210122T113448_T30UWF,1611315362792.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-22 11:36:02.792,2021 01 22 11 36 02
20210124T112351_20210124T112450_T30UVE,93.931084,20210124T112351_20210124T112450_T30UVE,1611487585465.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-24 11:26:25.465,2021 01 24 11 26 25
20210124T112351_20210124T112450_T30UVF,80.382036,20210124T112351_20210124T112450_T30UVF,1611487571171.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-24 11:26:11.171,2021 01 24 11 26 11
20210124T112351_20210124T112450_T30UWE,99.608685,20210124T112351_20210124T112450_T30UWE,1611487581424.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-24 11:26:21.424,2021 01 24 11 26 21
20210124T112351_20210124T112450_T30UWF,79.090019,20210124T112351_20210124T112450_T30UWF,1611487567001.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-24 11:26:07.001,2021 01 24 11 26 07
20210127T113341_20210127T113448_T30UVE,99.999866,20210127T113341_20210127T113448_T30UVE,1611747382291.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-27 11:36:22.291,2021 01 27 11 36 22
20210127T113341_20210127T113448_T30UVF,99.99927,20210127T113341_20210127T113448_T30UVF,1611747368199.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-27 11:36:08.199,2021 01 27 11 36 08
20210127T113341_20210127T113448_T30UWE,99.999568,20210127T113341_20210127T113448_T30UWE,1611747377067.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-27 11:36:17.067,2021 01 27 11 36 17
20210127T113341_20210127T113448_T30UWF,94.786334,20210127T113341_20210127T113448_T30UWF,1611747363371.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-27 11:36:03.371,2021 01 27 11 36 03
20210129T112229_20210129T112448_T30UVE,83.755473,20210129T112229_20210129T112448_T30UVE,1611919584609.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-29 11:26:24.609,2021 01 29 11 26 24
20210129T112229_20210129T112448_T30UVF,87.005584,20210129T112229_20210129T112448_T30UVF,1611919570310.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-29 11:26:10.310,2021 01 29 11 26 10
20210129T112229_20210129T112448_T30UWE,84.824925,20210129T112229_20210129T112448_T30UWE,1611919580567.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-29 11:26:20.567,2021 01 29 11 26 20
20210129T112229_20210129T112448_T30UWF,84.999302,20210129T112229_20210129T112448_T30UWF,1611919566150.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-29 11:26:06.150,2021 01 29 11 26 06
20210201T113319_20210201T113448_T30UVE,69.855464,20210201T113319_20210201T113448_T30UVE,1612179381459.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-01 11:36:21.459,2021 02 01 11 36 21
20210201T113319_20210201T113448_T30UVF,74.656112,20210201T113319_20210201T113448_T30UVF,1612179367354.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-01 11:36:07.354,2021 02 01 11 36 07
20210201T113319_20210201T113448_T30UWE,44.432166,20210201T113319_20210201T113448_T30UWE,1612179376264.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-01 11:36:16.264,2021 02 01 11 36 16
20210201T113319_20210201T113448_T30UWF,46.155237,20210201T113319_20210201T113448_T30UWF,1612179362526.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-01 11:36:02.526,2021 02 01 11 36 02
20210203T112251_20210203T112448_T30UVE,69.826735,20210203T112251_20210203T112448_T30UVE,1612351584584.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-03 11:26:24.584,2021 02 03 11 26 24
20210203T112251_20210203T112448_T30UVF,78.137809,20210203T112251_20210203T112448_T30UVF,1612351570286.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-03 11:26:10.286,2021 02 03 11 26 10
20210203T112251_20210203T112448_T30UWE,78.206309,20210203T112251_20210203T112448_T30UWE,1612351580546.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-03 11:26:20.546,2021 02 03 11 26 20
20210203T112251_20210203T112448_T30UWF,67.35822,20210203T112251_20210203T112448_T30UWF,1612351566114.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-03 11:26:06.114,2021 02 03 11 26 06
20210206T113321_20210206T113448_T30UVE,76.312083,20210206T113321_20210206T113448_T30UVE,1612611381183.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-06 11:36:21.183,2021 02 06 11 36 21
20210206T113321_20210206T113448_T30UVF,58.577821,20210206T113321_20210206T113448_T30UVF,1612611367095.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-06 11:36:07.095,2021 02 06 11 36 07
20210206T113321_20210206T113448_T30UWE,87.226554,20210206T113321_20210206T113448_T30UWE,1612611375946.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-06 11:36:15.946,2021 02 06 11 36 15
20210206T113321_20210206T113448_T30UWF,88.544287,20210206T113321_20210206T113448_T30UWF,1612611362271.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-06 11:36:02.271,2021 02 06 11 36 02
20210208T112129_20210208T112318_T30UVE,15.957277,20210208T112129_20210208T112318_T30UVE,1612783583836.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-08 11:26:23.836,2021 02 08 11 26 23
20210208T112129_20210208T112318_T30UVF,16.824814,20210208T112129_20210208T112318_T30UVF,1612783569541.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-08 11:26:09.541,2021 02 08 11 26 09
20210208T112129_20210208T112318_T30UWE,56.986909,20210208T112129_20210208T112318_T30UWE,1612783579796.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-08 11:26:19.796,2021 02 08 11 26 19
20210208T112129_20210208T112318_T30UWF,40.312557,20210208T112129_20210208T112318_T30UWF,1612783565378.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-08 11:26:05.378,2021 02 08 11 26 05
20210211T113319_20210211T113447_T30UVE,59.137655,20210211T113319_20210211T113447_T30UVE,1613043380536.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-11 11:36:20.536,2021 02 11 11 36 20
20210211T113319_20210211T113447_T30UVF,16.700878,20210211T113319_20210211T113447_T30UVF,1613043366431.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-11 11:36:06.431,2021 02 11 11 36 06
20210211T113319_20210211T113447_T30UWE,16.13608,20210211T113319_20210211T113447_T30UWE,1613043375353.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-11 11:36:15.353,2021 02 11 11 36 15
20210211T113319_20210211T113447_T30UWF,7.485007,20210211T113319_20210211T113447_T30UWF,1613043361608.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-11 11:36:01.608,2021 02 11 11 36 01
20210213T112151_20210213T112445_T30UVE,99.953418,20210213T112151_20210213T112445_T30UVE,1613215583640.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-13 11:26:23.640,2021 02 13 11 26 23
20210213T112151_20210213T112445_T30UVF,99.971509,20210213T112151_20210213T112445_T30UVF,1613215569334.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-13 11:26:09.334,2021 02 13 11 26 09
20210213T112151_20210213T112445_T30UWE,92.043565,20210213T112151_20210213T112445_T30UWE,1613215579594.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-13 11:26:19.594,2021 02 13 11 26 19
20210213T112151_20210213T112445_T30UWF,93.80723,20210213T112151_20210213T112445_T30UWF,1613215565172.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-13 11:26:05.172,2021 02 13 11 26 05
20210216T113321_20210216T113448_T30UVE,56.220974,20210216T113321_20210216T113448_T30UVE,1613475380965.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-16 11:36:20.965,2021 02 16 11 36 20
20210216T113321_20210216T113448_T30UVF,50.53541,20210216T113321_20210216T113448_T30UVF,1613475366871.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-16 11:36:06.871,2021 02 16 11 36 06
20210216T113321_20210216T113448_T30UWE,99.997046,20210216T113321_20210216T113448_T30UWE,1613475375768.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-16 11:36:15.768,2021 02 16 11 36 15
20210216T113321_20210216T113448_T30UWF,72.172762,20210216T113321_20210216T113448_T30UWF,1613475362037.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-16 11:36:02.037,2021 02 16 11 36 02
20210218T112109_20210218T112238_T30UVE,39.287726,20210218T112109_20210218T112238_T30UVE,1613647582463.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-18 11:26:22.463,2021 02 18 11 26 22
20210218T112109_20210218T112238_T30UVF,71.928984,20210218T112109_20210218T112238_T30UVF,1613647568171.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-18 11:26:08.171,2021 02 18 11 26 08
20210218T112109_20210218T112238_T30UWE,51.422868,20210218T112109_20210218T112238_T30UWE,1613647578426.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-18 11:26:18.426,2021 02 18 11 26 18
20210218T112109_20210218T112238_T30UWF,85.260052,20210218T112109_20210218T112238_T30UWF,1613647564006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-18 11:26:04.006,2021 02 18 11 26 04
20210221T113319_20210221T113316_T30UVE,99.523071,20210221T113319_20210221T113316_T30UVE,1613907379863.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-21 11:36:19.863,2021 02 21 11 36 19
20210221T113319_20210221T113316_T30UVF,98.987507,20210221T113319_20210221T113316_T30UVF,1613907365754.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-21 11:36:05.754,2021 02 21 11 36 05
20210221T113319_20210221T113316_T30UWE,96.943778,20210221T113319_20210221T113316_T30UWE,1613907374704.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-21 11:36:14.704,2021 02 21 11 36 14
20210221T113319_20210221T113316_T30UWF,98.743114,20210221T113319_20210221T113316_T30UWF,1613907360918.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-21 11:36:00.918,2021 02 21 11 36 00
20210223T112111_20210223T112449_T30UVE,72.323798,20210223T112111_20210223T112449_T30UVE,1614079584511.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-23 11:26:24.511,2021 02 23 11 26 24
20210223T112111_20210223T112449_T30UVF,66.274197,20210223T112111_20210223T112449_T30UVF,1614079570208.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-23 11:26:10.208,2021 02 23 11 26 10
20210223T112111_20210223T112449_T30UWE,96.783757,20210223T112111_20210223T112449_T30UWE,1614079580466.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-23 11:26:20.466,2021 02 23 11 26 20
20210223T112111_20210223T112449_T30UWF,69.866047,20210223T112111_20210223T112449_T30UWF,1614079566045.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-23 11:26:06.045,2021 02 23 11 26 06
20210226T113321_20210226T113449_T30UVE,6.113583,20210226T113321_20210226T113449_T30UVE,1614339381661.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-26 11:36:21.661,2021 02 26 11 36 21
20210226T113321_20210226T113449_T30UVF,47.122239,20210226T113321_20210226T113449_T30UVF,1614339367564.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-26 11:36:07.564,2021 02 26 11 36 07
20210226T113321_20210226T113449_T30UWE,32.098407,20210226T113321_20210226T113449_T30UWE,1614339376468.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-26 11:36:16.468,2021 02 26 11 36 16
20210226T113321_20210226T113449_T30UWF,34.232121,20210226T113321_20210226T113449_T30UWF,1614339362729.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-26 11:36:02.729,2021 02 26 11 36 02
20210228T112109_20210228T112112_T30UVE,1.617847,20210228T112109_20210228T112112_T30UVE,1614511583656.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-28 11:26:23.656,2021 02 28 11 26 23
20210228T112109_20210228T112112_T30UVF,22.156406,20210228T112109_20210228T112112_T30UVF,1614511569348.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-28 11:26:09.348,2021 02 28 11 26 09
20210228T112109_20210228T112112_T30UWE,1.728297,20210228T112109_20210228T112112_T30UWE,1614511579609.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-28 11:26:19.609,2021 02 28 11 26 19
20210228T112109_20210228T112112_T30UWF,13.859684,20210228T112109_20210228T112112_T30UWF,1614511565193.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-28 11:26:05.193,2021 02 28 11 26 05
20210303T113319_20210303T113317_T30UVE,95.450923,20210303T113319_20210303T113317_T30UVE,1614771380894.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03-03 11:36:20.894,2021 03 03 11 36 20
20210303T113319_20210303T113317_T30UVF,95.6426,20210303T113319_20210303T113317_T30UVF,1614771366784.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03-03 11:36:06.784,2021 03 03 11 36 06
20210303T113319_20210303T113317_T30UWE,94.477183,20210303T113319_20210303T113317_T30UWE,1614771375719.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03-03 11:36:15.719,2021 03 03 11 36 15
20210303T113319_20210303T113317_T30UWF,66.609321,20210303T113319_20210303T113317_T30UWF,1614771361955.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03-03 11:36:01.955,2021 03 03 11 36 01
20210305T112111_20210305T112449_T30UVE,94.445101,20210305T112111_20210305T112449_T30UVE,1614943584699.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03-05 11:26:24.699,2021 03 05 11 26 24
