system:index,cloudiness,scene_id,timestamp,.geo,datetime,formatted_datetime
20240102T113501_20240102T113455_T30UVE,99.933988,20240102T113501_20240102T113455_T30UVE,1704195378659.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-02 11:36:18.659,2024 01 02 11 36 18
20240102T113501_20240102T113455_T30UVF,99.362707,20240102T113501_20240102T113455_T30UVF,1704195364555.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-02 11:36:04.555,2024 01 02 11 36 04
20240102T113501_20240102T113455_T30UWE,99.9973,20240102T113501_20240102T113455_T30UWE,1704195373470.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-02 11:36:13.470,2024 01 02 11 36 13
20240102T113501_20240102T113455_T30UWF,99.950552,20240102T113501_20240102T113455_T30UWF,1704195359720.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-02 11:35:59.720,2024 01 02 11 35 59
20240104T112359_20240104T112355_T30UVE,48.987272,20240104T112359_20240104T112355_T30UVE,1704367585018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-04 11:26:25.018,2024 01 04 11 26 25
20240104T112359_20240104T112355_T30UVF,68.40744,20240104T112359_20240104T112355_T30UVF,1704367570720.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-04 11:26:10.720,2024 01 04 11 26 10
20240104T112359_20240104T112355_T30UWE,68.873477,20240104T112359_20240104T112355_T30UWE,1704367580977.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-04 11:26:20.977,2024 01 04 11 26 20
20240104T112359_20240104T112355_T30UWF,77.916741,20240104T112359_20240104T112355_T30UWF,1704367566556.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-04 11:26:06.556,2024 01 04 11 26 06
20240107T113349_20240107T113352_T30UVE,6.162066,20240107T113349_20240107T113352_T30UVE,1704627381143.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-07 11:36:21.143,2024 01 07 11 36 21
20240107T113349_20240107T113352_T30UVF,2.074293,20240107T113349_20240107T113352_T30UVF,1704627367041.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-07 11:36:07.041,2024 01 07 11 36 07
20240107T113349_20240107T113352_T30UWE,4.522238,20240107T113349_20240107T113352_T30UWE,1704627375955.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-07 11:36:15.955,2024 01 07 11 36 15
20240107T113349_20240107T113352_T30UWF,31.530216,20240107T113349_20240107T113352_T30UWF,1704627362212.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-07 11:36:02.212,2024 01 07 11 36 02
20240109T112441_20240109T112442_T30UVE,28.187063,20240109T112441_20240109T112442_T30UVE,1704799580199.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-09 11:26:20.199,2024 01 09 11 26 20
20240109T112441_20240109T112442_T30UVF,16.387667,20240109T112441_20240109T112442_T30UVF,1704799565889.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01-09 11:26:05.889,2024 01 09 11 26 05
