Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1),01/01/2021,00:00:00,,,,,8.934,,,,,,,
2),01/01/2021,00:15:00,,,,,8.97,,,,,,,
3),01/01/2021,00:30:00,,,,,8.926,,,,,,,
4),01/01/2021,00:45:00,,,,,8.824,,,,,,,
5),01/01/2021,01:00:00,,,,,8.652,,,,,,,
6),01/01/2021,01:15:00,,,,,8.406,,,,,,,
7),01/01/2021,01:30:00,,,,,8.105,,,,,,,
8),01/01/2021,01:45:00,,,,,7.755,,,,,,,
9),01/01/2021,02:00:00,,,,,7.367,,,,,,,
10),01/01/2021,02:15:00,,,,,6.954,,,,,,,
11),01/01/2021,02:30:00,,,,,6.524,,,,,,,
12),01/01/2021,02:45:00,,,,,6.077,,,,,,,
13),01/01/2021,03:00:00,,,,,5.626,,,,,,,
14),01/01/2021,03:15:00,,,,,5.181,,,,,,,
15),01/01/2021,03:30:00,,,,,4.742,,,,,,,
16),01/01/2021,03:45:00,,,,,4.305,,,,,,,
17),01/01/2021,04:00:00,,,,,3.873,,,,,,,
18),01/01/2021,04:15:00,,,,,3.451,,,,,,,
19),01/01/2021,04:30:00,,,,,3.087,,,,,,,
20),01/01/2021,04:45:00,,,,,2.779,,,,,,,
21),01/01/2021,05:00:00,,,,,2.496,,,,,,,
22),01/01/2021,05:15:00,,,,,2.252,,,,,,,
23),01/01/2021,05:30:00,,,,,2.043,,,,,,,
24),01/01/2021,05:45:00,,,,,1.88,,,,,,,
25),01/01/2021,06:00:00,,,,,1.763,,,,,,,
26),01/01/2021,06:15:00,,,,,1.672,,,,,,,
27),01/01/2021,06:30:00,,,,,1.618,,,,,,,
28),01/01/2021,06:45:00,,,,,1.609,,,,,,,
29),01/01/2021,07:00:00,,,,,1.638,,,,,,,
30),01/01/2021,07:15:00,,,,,1.705,,,,,,,
31),01/01/2021,07:30:00,,,,,1.827,,,,,,,
32),01/01/2021,07:45:00,,,,,2.017,,,,,,,
33),01/01/2021,08:00:00,,,,,2.28,,,,,,,
34),01/01/2021,08:15:00,,,,,2.606,,,,,,,
35),01/01/2021,08:30:00,,,,,3.006,,,,,,,
36),01/01/2021,08:45:00,,,,,3.464,,,,,,,
37),01/01/2021,09:00:00,,,,,3.941,,,,,,,
38),01/01/2021,09:15:00,,,,,4.426,,,,,,,
39),01/01/2021,09:30:00,,,,,4.948,,,,,,,
40),01/01/2021,09:45:00,,,,,5.478,,,,,,,
41),01/01/2021,10:00:00,,,,,5.991,,,,,,,
42),01/01/2021,10:15:00,,,,,6.494,,,,,,,
43),01/01/2021,10:30:00,,,,,6.991,,,,,,,
44),01/01/2021,10:45:00,,,,,7.462,,,,,,,
45),01/01/2021,11:00:00,,,,,7.87,,,,,,,
46),01/01/2021,11:15:00,,,,,8.244,,,,,,,
