system:index,cloudiness,scene_id,timestamp,.geo,datetime,formatted_datetime
20170408T113321_20170408T113407_T30UVE,0.0144,20170408T113321_20170408T113407_T30UVE,1491651247967.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-08 11:34:07.967,2017 04 08 11 34 07
20170408T113321_20170408T113407_T30UVF,0.2847,20170408T113321_20170408T113407_T30UVF,1491651247000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-08 11:34:07.000,2017 04 08 11 34 07
20170408T113321_20170408T113407_T30UWE,0.0,20170408T113321_20170408T113407_T30UWE,1491651247000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-08 11:34:07.000,2017 04 08 11 34 07
20170415T112111_20170415T112515_T30UVE,15.5453,20170415T112111_20170415T112515_T30UVE,1492255515182.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-15 11:25:15.182,2017 04 15 11 25 15
20170415T112111_20170415T112515_T30UVF,40.2592,20170415T112111_20170415T112515_T30UVF,1492255515182.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-15 11:25:15.182,2017 04 15 11 25 15
20170415T112111_20170415T112515_T30UWE,58.2368,20170415T112111_20170415T112515_T30UWE,1492255515182.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-15 11:25:15.182,2017 04 15 11 25 15
20170415T112111_20170415T112515_T30UWF,48.6524,20170415T112111_20170415T112515_T30UWF,1492255515182.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-15 11:25:15.182,2017 04 15 11 25 15
20170418T113321_20170418T113413_T30UVE,46.1813,20170418T113321_20170418T113413_T30UVE,1492515253574.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-18 11:34:13.574,2017 04 18 11 34 13
20170418T113321_20170418T113413_T30UWE,32.2109,20170418T113321_20170418T113413_T30UWE,1492515253574.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-18 11:34:13.574,2017 04 18 11 34 13
20170418T113321_20170418T113413_T30UWF,36.4675,20170418T113321_20170418T113413_T30UWF,1492515253574.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-18 11:34:13.574,2017 04 18 11 34 13
20170425T112121_20170425T112115_T30UVE,61.0657,20170425T112121_20170425T112115_T30UVE,1493119275462.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-25 11:21:15.462,2017 04 25 11 21 15
20170425T112121_20170425T112115_T30UVF,69.2372,20170425T112121_20170425T112115_T30UVF,1493119275462.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-25 11:21:15.462,2017 04 25 11 21 15
20170425T112121_20170425T112115_T30UWE,91.1952,20170425T112121_20170425T112115_T30UWE,1493119275462.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-25 11:21:15.462,2017 04 25 11 21 15
20170425T112121_20170425T112115_T30UWF,86.4784,20170425T112121_20170425T112115_T30UWF,1493119275462.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-25 11:21:15.462,2017 04 25 11 21 15
20170428T113321_20170428T113400_T30UVE,78.0123,20170428T113321_20170428T113400_T30UVE,1493379240000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-28 11:34:00.000,2017 04 28 11 34 00
20170428T113321_20170428T113400_T30UVF,69.412,20170428T113321_20170428T113400_T30UVF,1493379240147.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-28 11:34:00.147,2017 04 28 11 34 00
20170428T113321_20170428T113400_T30UWE,74.3199,20170428T113321_20170428T113400_T30UWE,1493379240147.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-28 11:34:00.147,2017 04 28 11 34 00
