system:index,cloudiness,scene_id,timestamp,.geo,datetime,formatted_datetime
20190103T113459_20190103T113453_T30UVE,98.784779,20190103T113459_20190103T113453_T30UVE,1546515379000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-03 11:36:19.000,2019 01 03 11 36 19
20190103T113459_20190103T113453_T30UVF,99.112346,20190103T113459_20190103T113453_T30UVF,1546515365000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-03 11:36:05.000,2019 01 03 11 36 05
20190103T113459_20190103T113453_T30UWE,98.178385,20190103T113459_20190103T113453_T30UWE,1546515374000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-03 11:36:14.000,2019 01 03 11 36 14
20190103T113459_20190103T113453_T30UWF,97.638144,20190103T113459_20190103T113453_T30UWF,1546515360000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-03 11:36:00.000,2019 01 03 11 36 00
20190105T112441_20190105T112443_T30UVE,96.548851,20190105T112441_20190105T112443_T30UVE,1546687579000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-05 11:26:19.000,2019 01 05 11 26 19
20190105T112441_20190105T112443_T30UVF,98.456029,20190105T112441_20190105T112443_T30UVF,1546687565000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-05 11:26:05.000,2019 01 05 11 26 05
20190105T112441_20190105T112443_T30UWE,97.63199,20190105T112441_20190105T112443_T30UWE,1546687575000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-05 11:26:15.000,2019 01 05 11 26 15
20190105T112441_20190105T112443_T30UWF,87.896137,20190105T112441_20190105T112443_T30UWF,1546687561000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-05 11:26:01.000,2019 01 05 11 26 01
20190108T113441_20190108T113440_T30UVE,44.006526,20190108T113441_20190108T113440_T30UVE,1546947377000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-08 11:36:17.000,2019 01 08 11 36 17
20190108T113441_20190108T113440_T30UVF,27.40185,20190108T113441_20190108T113440_T30UVF,1546947362000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-08 11:36:02.000,2019 01 08 11 36 02
20190108T113441_20190108T113440_T30UWE,17.295816,20190108T113441_20190108T113440_T30UWE,1546947371000.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-08 11:36:11.000,2019 01 08 11 36 11
