Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1),01/01/2022,00:00:00,,,,,5.976M,,,,,,,
2),01/01/2022,00:15:00,,,,,5.569M,,,,,,,
3),01/01/2022,00:30:00,,,,,5.170M,,,,,,,
4),01/01/2022,00:45:00,,,,,4.772M,,,,,,,
5),01/01/2022,01:00:00,,,,,4.353M,,,,,,,
6),01/01/2022,01:15:00,,,,,3.968M,,,,,,,
7),01/01/2022,01:30:00,,,,,3.617M,,,,,,,
8),01/01/2022,01:45:00,,,,,3.297M,,,,,,,
9),01/01/2022,02:00:00,,,,,2.996M,,,,,,,
10),01/01/2022,02:15:00,,,,,2.722M,,,,,,,
11),01/01/2022,02:30:00,,,,,2.474M,,,,,,,
12),01/01/2022,02:45:00,,,,,2.287M,,,,,,,
13),01/01/2022,03:00:00,,,,,2.143M,,,,,,,
14),01/01/2022,03:15:00,,,,,2.033M,,,,,,,
15),01/01/2022,03:30:00,,,,,1.962M,,,,,,,
16),01/01/2022,03:45:00,,,,,1.916M,,,,,,,
17),01/01/2022,04:00:00,,,,,1.901M,,,,,,,
18),01/01/2022,04:15:00,,,,,1.966M,,,,,,,
19),01/01/2022,04:30:00,,,,,2.076M,,,,,,,
20),01/01/2022,04:45:00,,,,,2.241M,,,,,,,
21),01/01/2022,05:00:00,,,,,2.500M,,,,,,,
22),01/01/2022,05:15:00,,,,,2.838M,,,,,,,
23),01/01/2022,05:30:00,,,,,3.209M,,,,,,,
24),01/01/2022,05:45:00,,,,,3.636M,,,,,,,
25),01/01/2022,06:00:00,,,,,4.132M,,,,,,,
26),01/01/2022,06:15:00,,,,,4.666M,,,,,,,
27),01/01/2022,06:30:00,,,,,5.251M,,,,,,,
28),01/01/2022,06:45:00,,,,,5.806M,,,,,,,
29),01/01/2022,07:00:00,,,,,6.343M,,,,,,,
30),01/01/2022,07:15:00,,,,,6.865M,,,,,,,
31),01/01/2022,07:30:00,,,,,7.383M,,,,,,,
32),01/01/2022,07:45:00,,,,,7.850M,,,,,,,
33),01/01/2022,08:00:00,,,,,8.279M,,,,,,,
34),01/01/2022,08:15:00,,,,,8.678M,,,,,,,
35),01/01/2022,08:30:00,,,,,9.011M,,,,,,,
36),01/01/2022,08:45:00,,,,,9.293M,,,,,,,
37),01/01/2022,09:00:00,,,,,9.511M,,,,,,,
38),01/01/2022,09:15:00,,,,,9.648M,,,,,,,
39),01/01/2022,09:30:00,,,,,9.727M,,,,,,,
40),01/01/2022,09:45:00,,,,,9.736M,,,,,,,
41),01/01/2022,10:00:00,,,,,9.680M,,,,,,,
42),01/01/2022,10:15:00,,,,,9.543M,,,,,,,
43),01/01/2022,10:30:00,,,,,9.344M,,,,,,,
44),01/01/2022,10:45:00,,,,,9.079M,,,,,,,
